MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_59_2_L_HSBCM_PMOS,MOSFET_59_2_M_HSBCM_PMOS,MOSFET_59_2_W_HSBCM_PMOS,MOSFET_60_2_L_gma_NMOS,MOSFET_60_2_M_gma_NMOS,MOSFET_60_2_W_gma_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,RESISTOR_0,gen,index,VDS0,VDS11,VDS12,VDS17,VDS18,VDS22,VDS25,VDS59,VDS60,VDS9,ft0,ft11,ft12,ft17,ft18,ft22,ft25,ft59,ft60,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm25,gm59,gm60,gm9,gmid_offset0,gmid_offset11,gmid_offset12,gmid_offset17,gmid_offset18,gmid_offset22,gmid_offset25,gmid_offset59,gmid_offset60,gmid_offset9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.85,1,1.88,0.444,1,0.477,0.228,7,0.682,0.85,19,1.2,0.85,2,0.847,0.85,45,0.976,0.426,1,2.4,0.752,1,1.48,0.527,44,1.3,0.04,6,0.1,1.56,1.56,1,2.5,62,0,0.134001016731071,0.72512073535612,0.579889949345471,0.412918805679415,0.0600218153762649,0.154823637326402,0.29969723408675,0.326023804409588,0.413105159131209,0.060073102700867,159195917.470017,1343267334.76106,5919265047.46021,29414386.8069815,111800870.540825,36127340.0085784,3573889765.44441,374332902.567468,57719356.2739248,111864307.050996,5.34989817542342e-05,1.41868771383529e-05,0.000351012926001939,3.71508894254491e-05,2.10090262260458e-05,2.37050121607016e-05,0.000244335505695724,1.94745082198537e-05,3.08974410220291e-05,2.10178342477297e-05,15,15,15,15,15,15,15,15,15,15,71.6274456343657,99.2007579687169,17209.3595847033,154.88423626233,71.214135785618,23412.1175128513,60.792702522589,0.000781571624428221,1385.6,105.21911974385,4061537,3.93345743054275e-05,0.000440099835190787,45.61802,1.65734343087438e-06,5.22803659222526e-07,5.24702972624635e-05,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,1
0.85,1,1.88,0.444,1,0.477,0.228,7,0.682,0.85,19,1.2,0.85,2,0.847,0.85,45,0.976,0.393,1,2.4,0.752,1,1.48,0.527,44,1.3,0.04,8,0.1,1.56,1.56,1,2.5,72,1,0.134012434275839,0.725071743817768,0.579891007827118,0.412820656101551,0.0600217623699523,0.154872557856527,0.299695647449653,0.3260238655256,0.413105162876523,0.060073048686845,159198665.192261,1344086371.57319,5923089074.54693,29406462.9263653,111800853.427101,36165306.6765048,4031513524.71648,374333074.06202,57719405.1602771,111864288.789133,5.34995845069886e-05,1.4199606530194e-05,0.00035132843365677,3.71396011665204e-05,2.10090341937377e-05,2.373323794843e-05,0.000252348213211945,1.94745214545795e-05,3.08974700746619e-05,2.10178420623838e-05,15,15,15,15,15,15,15,15,15,15,74.5054387241871,214.605282809879,17542.3886153162,157.881497537846,75.704818012147,50688.1139377221,60.7921827211361,0.00118666964950582,1265.8,105.527218159564,4143377,3.93653822450612e-05,0.000422116736712252,42.00955,1.24760806828804e-06,5.0781956540652e-07,5.34591660463768e-05,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,1
0.85,1,1.35,0.375,1,0.335,0.303,6,0.783,0.85,43,0.301,0.85,19,0.1,0.85,1,0.485,0.85,7,2.1,0.32,1,0.71,0.85,98,0.591,0.04,7,0.882,1.56,1.56,1,2.5,83,4,0.0757099030084102,0.517403857339636,0.580700284078222,0.461291979428256,0.054254705533705,0.362457866066559,0.299168436233646,0.294217405502633,0.517600359074058,0.0542702420280984,84785835.2619368,2070228621.08122,3340159035.84097,37074257.2240557,68998214.1028438,590016814.847489,457076333.442833,1926328202.36629,32367847.8085144,69011627.1653823,5.16198216439398e-05,1.40646174301332e-05,0.000253232940824203,3.17509784435394e-05,2.24283321339344e-05,1.34672229206103e-05,0.000274472886575868,1.9570808921599e-05,2.71088183763154e-05,2.24315077370169e-05,15,15,15,15,15,15,15,15,15,15,89.920538486748,2283.96485978565,18132.0196501269,163.188176851142,75.5045232211306,466428.903697488,60.0787265926967,0.00401599316009919,1201.4,107.020076801494,3702902,3.40364915349634e-05,0.000484874442719468,42.38421,1.5721078362175e-06,2.40475189086514e-06,0.000517926774522004,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,1
0.85,1,1.64,0.372,1,0.499,0.25,11,0.697,0.85,39,0.113,0.85,13,0.1,0.85,99,1.24,0.85,17,1.54,0.85,1,2.4,0.85,68,1.37,0.04,10,0.253,1.56,1.56,1,2.5,82,10,0.0895140683445988,0.760347912345496,0.579848829450125,0.476695044527934,0.0576284614934322,0.11959743457111,0.300039515723526,0.302662362340651,0.498971915777122,0.0576416071238512,113925920.146015,1737355870.02559,4127168748.14369,70646472.0355916,87284377.3342018,14089908.4676262,401429330.373343,233544524.540733,22440379.4021067,87298037.3348307,5.13816119528167e-05,1.52977326482424e-05,0.000397706930528581,3.21851364396337e-05,2.1609461859629e-05,2.39062470231085e-05,0.000402492659761304,1.98872401875672e-05,2.8473352587164e-05,2.16118976871411e-05,15,15,15,15,15,15,15,15,15,15,87.1313807756152,932.167585743276,20782.8560903511,187.04570481316,84.2217350543517,223026.731995892,61.95555203531,0.000840975143213004,1099.4,105.718753372703,4972424,3.98760078850805e-05,0.000409676419177454,44.86855,9.68694411920734e-07,7.3431317494127e-07,4.72031580983079e-05,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,1
0.85,1,1.47,0.372,1,0.504,0.237,10,0.793,0.85,37,0.1,0.85,2,0.1,0.85,98,1.34,0.85,16,1.33,0.85,1,2.26,0.85,115,0.972,0.04,7,0.207,1.56,1.56,1,2.5,79,20,0.199191567050836,0.761537246417261,0.579769833669278,0.367780120310837,0.0862775454209749,0.118408382409473,0.300105598400224,0.308512602930146,0.37219236763724,0.0862843580252495,418829595.079801,1725927960.822,4622631093.70122,73438724.1478767,266430834.343706,13186683.934792,468024420.900818,245764180.955671,20364311.2388778,266446121.141667,3.86390263524876e-05,1.52892763460105e-05,0.000438677183181972,3.26775242722851e-05,1.52631821942054e-05,2.38499395845179e-05,0.000411520531338476,2.02519598188157e-05,2.9915800426964e-05,1.52638183107094e-05,15,15,15,15,15,15,15,15,15,15,69.9250849256431,470.522495130669,19252.4457371685,173.272011634517,57.1214141593525,121844.981575115,62.1953681394362,0.00120841780495876,1072.4,106.286368227071,4985551,4.31594602582098e-05,0.000410434114731026,41.57144,9.66676723592459e-07,9.36349628285482e-07,7.07535240778157e-05,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,1
0.85,62,1,0.28,1,0.461,0.245,15,0.99,0.85,13,0.95,0.85,17,0.99,0.85,102,0.785,0.85,486,0.63,0.385,1,0.513,0.181,17,0.965,0.369,156,0.531,1.56,1.56,6.6,2.5,26,12,0.0507462031358767,0.676285604275719,0.580293421513584,0.383031667803021,0.0565224263275763,0.203333562722999,0.299260777250035,0.5072510253585,0.292731577472684,0.056602169202073,84315993.8066129,7076650618.90067,9358833810.12381,130855620.258748,90507297.2727352,99836045.3135584,364722560.53291,4167038092.13764,1594269737.85352,90588247.8023579,0.000278745864338573,6.07972143910857e-05,0.00227443059338447,0.000138347577881423,0.000147227706121862,0.000154044591255299,0.00417030380625193,5.66637814366922e-05,0.000176830833663269,0.000147328445131311,15,15,15,15,15,15,15,15,15,15,76.3023118458577,1478.82601001817,6820.35489415065,61.3831940473559,31.1496834375984,3087300.63088124,66.7870265695367,0.00353360577526563,1049,105.959497502693,14238650,0.00034794499262327,0.000356486876754323,57.42707,3.10461457981377e-07,3.40373148370848e-06,0.000442528054530877,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.809,1,2.4,0.318,1,0.504,0.237,9,0.924,0.85,37,0.1,0.85,1,0.1,0.85,1,0.843,0.85,7,2.4,0.349,1,0.971,0.85,142,0.543,0.04,7,0.207,1.56,1.56,1,2.5,80,28,0.188556699414589,0.230382881547317,0.420072003171736,0.0608535543972634,0.0798629303444409,0.489526945238767,0.299790995737016,0.449116757985432,0.0661470310075229,0.0798632096190095,829908516.651791,2770031877.25931,5946441725.44241,84006029.7315567,527604213.340474,587337588.550441,720287325.006128,1909144560.21381,42229527.1843341,527605604.690755,4.1892247670559e-05,2.25966380059654e-05,0.00062708273922258,4.45966661159888e-05,1.69817282187902e-05,2.09168476372128e-05,0.000549493806458071,2.91311777320756e-05,4.2815973679379e-05,1.69817604633523e-05,15,15,15,15,15,15,15,15,15,15,72.4780644390305,447.970448372443,15302.5345273822,137.72281074644,54.0485537496324,107491.646103941,59.8793866201049,0.00179538086566935,1035.2,104.526587584809,3671882,3.99920896919567e-05,0.00047640728016192,51.98423,1.0019271417748e-06,1.17482674285851e-06,0.000193257942021574,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,1
0.85,62,1.01,0.28,1,0.461,0.321,15,0.99,0.85,14,0.95,0.85,28,0.99,0.85,157,0.785,0.85,487,0.63,0.458,1,0.611,0.181,19,0.965,0.24,272,0.972,1.56,1.56,6.6,2.5,28,24,0.0402214430197627,0.69458113421703,0.580551187197641,0.3937950709454,0.0533761331640591,0.185038858515507,0.299143824900711,0.50875963582011,0.306893817492517,0.0535006775430473,56016958.1716399,7084054031.57903,5077836047.83326,109154179.073745,67407889.3050716,73570209.8384718,298747682.79259,2840427444.3827,1414413346.23524,67501735.9705085,0.000265159731950519,6.08287772100442e-05,0.0015682695406063,0.000114232864402575,0.000154339608981231,0.00015772036268101,0.00308721368730247,5.3834941444367e-05,0.000169549918722112,0.000154512249642583,15,15,15,15,15,15,15,15,15,15,82.6434523053662,1805.98752799423,7519.24805504846,67.6732324954362,30.7721306592928,2832278.1867883,68.3876245822298,0.00414934195657067,971.600000000004,108.443257878105,11792220,0.000261378529556614,0.000389872783769836,41.3538,3.34594614141445e-07,4.5994999512261e-06,0.000486907245200896,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,62,1,0.28,1,0.461,0.245,15,1.31,0.85,13,0.95,0.85,17,0.99,0.85,102,0.785,0.85,486,0.63,0.385,1,0.513,0.181,17,0.965,0.369,156,0.531,1.56,1.56,6.6,2.5,28,26,0.0507455176048064,0.676385136811653,0.580295719308904,0.383284647920475,0.0565224162003422,0.203234906282052,0.299255090396899,0.507250743975844,0.292731867004582,0.0566021590607923,84315134.761484,7069494466.85902,9324836529.86162,130855621.364723,90507192.6499865,99681110.0133744,420836597.201084,4167034370.69175,1594267305.01068,90588143.0590041,0.000278743364994352,6.07160783352252e-05,0.00299518278729901,0.000138346006723751,0.000147227427467412,0.000153714457855089,0.0051582653848398,5.66637165002035e-05,0.0001768304846651,0.000147328166270768,15,15,15,15,15,15,15,15,15,15,77.5888503930759,1318.46263203289,5235.81873973351,47.1223686576016,31.0961698935849,3489546.98118611,66.7958300944004,0.00352442184844561,959.600000000003,105.440825873695,13857530,0.000441113118719401,0.000356204773738295,67.8244,3.03295095884176e-07,3.38990804626849e-06,0.00044139222064371,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,62,1,0.28,1,0.461,0.245,15,0.99,0.85,13,0.95,0.85,17,0.99,0.85,102,0.785,0.85,486,0.637,0.385,1,0.513,0.181,17,0.965,0.369,548,0.531,1.56,1.56,6.6,2.5,30,31,0.0508097746038047,0.676284533606844,0.580279953419486,0.382965317317666,0.0565224764133873,0.203334623955611,0.299274245851754,0.507251989568504,0.292730567600873,0.0566022049226274,84387995.8539245,7076727633.50411,9358918090.17242,130723489.873319,90507668.4268008,99837712.7045031,362743092.498326,4167050844.35374,1594278071.42725,90588604.7216919,0.00027893294075338,6.07980876767839e-05,0.00227445959765669,0.000138142760434179,0.000147228672031969,0.000154048145786023,0.00418037901756633,5.66640039535423e-05,0.000176832029740943,0.000147329393511753,15,15,15,15,15,15,15,15,15,15,83.1506360839877,1623.6141895943,6889.8234383824,62.0084109454416,32.3092401921461,3390527.93284324,67.9486187791923,0.003474349618301,958.600000000003,107.114124823227,14387740,0.000348043268178388,0.000399011264507382,51.64205,1.87339924488501e-07,3.15657552216159e-06,0.000428040668290386,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,62,1.01,0.28,1,0.461,0.293,15,0.99,0.85,14,0.95,0.85,17,0.99,0.85,157,0.785,0.85,487,0.553,0.458,1,0.611,0.181,17,0.965,0.24,272,0.972,1.56,1.56,5.2,2.5,32,36,0.051040702933948,0.704594279339259,0.580496323825942,0.407999540808172,0.0549012547564324,0.175106314698629,0.299231885724644,0.485540841528496,0.316082526604024,0.0549948734880428,75471083.2784836,6368615655.75299,5597461986.6637,109854224.317684,79031729.1963825,61409420.4508926,298383445.518972,2628199097.71812,1344077998.89763,79114751.1254955,0.000229686384568964,5.28143225500629e-05,0.00153667248117184,0.000115356492999098,0.000119090542676082,0.000125471169498498,0.00274743436600994,4.86771590293241e-05,0.000142216018121425,0.000119188437459252,15,15,15,15,15,15,15,15,15,15,75.8466126397268,2243.66861035089,8941.96277549852,80.4776649794866,38.6574665125802,3078651.33337683,67.6689226011468,0.00375004402521386,954.600000000003,109.603360050893,12269720,0.000228691774353682,0.000356609245347323,41.03994,3.40079269031764e-07,3.78306232368647e-06,0.000437852485858481,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,35,1.05,0.28,1,0.461,0.245,15,0.999,0.85,10,0.95,0.85,17,0.99,0.85,102,0.785,0.85,486,0.597,0.366,1,0.513,0.218,17,0.978,0.369,548,0.43,1.56,1.56,6.6,2.5,33,57,0.0454304171287381,0.676439070476818,0.580295563837906,0.388693974471022,0.0565078092047615,0.203181442320789,0.299256429364263,0.48800551408598,0.327977537053093,0.0565953816915905,77890741.5011202,7065653438.96747,9343047105.31092,141787884.768447,90320160.2212005,99597206.947994,375496573.849137,4379857201.71637,1262617666.86201,90408832.70132,0.000261332890521167,6.06725350737745e-05,0.00228995788392364,0.000119790577551746,0.000146724224603406,0.000153535807886332,0.00413918943072611,5.58260561072135e-05,0.000161305569289262,0.0001468344559126,15,15,15,15,15,15,15,15,15,15,59.4477082144015,1577.83513337536,6566.04029251362,59.0943626326226,42.6490593503913,3295160.85382335,66.1234480120328,0.00405841131225311,925.600000000002,106.74027522152,13712560,0.00034806771887654,0.000406432306996074,62.10688,2.48126834315775e-07,3.18013630192154e-06,0.000485118586243172,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,62,1,0.28,1,0.461,0.245,15,0.99,0.85,13,0.95,0.85,17,0.99,0.85,102,0.785,0.85,486,0.63,0.385,1,0.513,0.181,17,0.965,0.369,156,0.531,1.56,1.56,6.6,2.5,31,38,0.0507462031358767,0.676285604275719,0.580293421513584,0.383031667803021,0.0565224263275763,0.203333562722999,0.299260777250035,0.5072510253585,0.292731577472684,0.056602169202073,84315993.8066129,7076650618.90067,9358833810.12381,130855620.258748,90507297.2727352,99836045.3135584,364722560.53291,4167038092.13764,1594269737.85352,90588247.8023579,0.000278745864338573,6.07972143910857e-05,0.00227443059338447,0.000138347577881423,0.000147227706121862,0.000154044591255299,0.00417030380625193,5.66637814366922e-05,0.000176830833663269,0.000147328445131311,15,15,15,15,15,15,15,15,15,15,76.3023118458577,1478.82990758185,6820.35489415065,61.3831940473559,31.1496834375984,3087308.76770783,66.7870265695367,0.00353269294137769,923.400000000003,105.959497502693,14238650,0.00034794499262327,0.000356486876754323,57.42707,3.40279289825143e-07,3.40373148370848e-06,0.000442528054530877,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,62,1,0.28,1,0.461,0.252,15,0.99,0.85,13,0.95,0.678,17,0.99,0.85,102,0.785,0.684,486,0.63,0.385,1,0.513,0.181,17,0.901,0.369,156,0.531,1.56,1.56,6.6,2.5,32,47,0.0447882295630024,0.676195333179144,0.580382394238212,0.388764735606015,0.054919301125373,0.20342303823339,0.299188378613018,0.503379442579531,0.306246676176098,0.0549881080033417,106280141.506729,7083139042.28638,8788675217.40233,122456741.012102,121503057.161313,99976685.6716572,486879534.37539,4115705738.27049,1642555112.94555,121596584.180944,0.00027066778438208,6.08707957146273e-05,0.00218981857188962,0.000125321174046998,0.000150673530547797,0.000154344533270797,0.00424090809296758,5.57690197978294e-05,0.000171094082436627,0.000150764924272962,15,15,15,15,15,15,15,15,15,15,63.5507015957841,1457.17416118642,6518.08586668124,58.6627728001312,31.2961130311377,2942008.84063544,66.250492918921,0.00389955297645872,868.000000000002,105.939925473808,13159900,0.000336497050135275,0.000357997442023892,59.23199,4.38653149817013e-07,4.2708356452803e-06,0.000474697262608681,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,62,1,0.28,1,0.461,0.245,15,1.31,0.85,13,0.95,0.85,17,0.99,0.85,102,0.785,0.85,486,0.63,0.385,1,0.513,0.181,17,0.965,0.369,156,0.531,1.56,1.56,6.6,2.5,32,54,0.0507455176048064,0.676385136811653,0.580295719308904,0.383284647920475,0.0565224162003422,0.203234906282052,0.299255090396899,0.507250743975844,0.292731867004582,0.0566021590607923,84315134.761484,7069494466.85902,9324836529.86162,130855621.364723,90507192.6499865,99681110.0133744,420836597.201084,4167034370.69175,1594267305.01068,90588143.0590041,0.000278743364994352,6.07160783352252e-05,0.00299518278729901,0.000138346006723751,0.000147227427467412,0.000153714457855089,0.0051582653848398,5.66637165002035e-05,0.0001768304846651,0.000147328166270768,15,15,15,15,15,15,15,15,15,15,77.5888503930759,1318.46230139134,5235.81873973351,47.1223686576016,31.0961698935849,3489546.10608416,66.7958300944004,0.00352442176505668,841.200000000003,105.440825873695,13857530,0.000441113118719401,0.000356204773738295,67.8244,2.98095227677393e-07,3.38990804626849e-06,0.00044139222064371,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
0.85,62,1.01,0.28,1,0.461,0.321,15,0.99,0.85,14,0.95,0.85,28,0.99,0.85,157,0.785,0.85,487,0.63,0.458,1,0.611,0.181,17,0.965,0.24,272,0.972,1.56,1.56,6.6,2.5,23,7,0.0402294697164626,0.694581136225836,0.580577770110888,0.393802187249662,0.0533764013994371,0.185038856524822,0.299117241185137,0.505957839616678,0.313077587528621,0.0535014527733139,56024534.239043,7084053883.09843,5077850625.31473,109167566.909193,67407689.9500361,73570207.2525529,298747713.990263,2815071205.47078,1514408897.53121,67501916.8511985,0.000265188609295625,6.08287755275101e-05,0.00156827338601187,0.000114252694314902,0.00015433856022838,0.00015772035552627,0.00308721955819049,5.32153590848702e-05,0.00016512908188846,0.000154511899525206,15,15,15,15,15,15,15,15,15,15,80.9666745436552,1816.9510478214,7644.15819530656,68.797423757759,31.9064038904187,2846340.85594376,68.3825163035114,0.00428736086340806,-0.561280499999995,108.310517885213,11974940,0.000261091317361636,0.000395093222747114,39.77322,3.3089045662822e-07,4.93947979547049e-06,0.000492433543123005,"HoiLee_AFFC_Pin_3",22,0.9,0.3,120,2
