MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.1,1,0.131,1.2,1,0.948,1,1,0.51,1.8,1,0.135,4,20,2,4,20,2,4,20,2,2.8,0.198,0.227,0,45,252,78.4,78.3,4,132,52.7,156,1650000,632000000,351000000,544000,3980000,1030000000,180000000,7.42e-06,5.95e-06,2.42e-05,8.2e-06,2.4e-05,3.24e-05,2.79e-06,27.004095989928,1.2189673508462,151.71657718184,64.5236451560923,26.8777100042902,1000,77.3929060491708,0.528449210498172,0.0929155981609489,94.592902470698,124463.2,7.45787742764255e-06,0.000418343381529731,60.28234,5.01207481654593e-07,2.38888840328275e-05,0.00575859157519204,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
1.1,1,0.38,0.9,1,1.51,0.8,2,1.37,1.3,1,0.12,0.2,20,2,4,20,2,4,20,2,1.06,0.144,0.235,0,16,58.9,94.6,80.5,3.97,133,58.8,125,38900000,372000000,447000000,632000,4410000,507000000,340000000,8.35e-06,9.28e-06,3.54e-05,9.95e-06,2.73e-05,6.09e-05,3.39e-06,21.0458079518484,0.953582333305102,397.920181148419,7172.40889707307,22.8338889563561,1000,53.102451219277,0.534598449883304,1.35495282363051,78.5201777799888,417289.8,9.53342860222687e-06,0.000803067003933975,50.99928,2.96949543000089e-07,0.000158234878937794,0.0217818278226848,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
1.1,1,0.344,0.7,1,0.97,0.7,20,1.94,0.8,1,0.12,1,20,2,4,20,2,4,20,2,1.92,0.199,0.247,0,38,87.4,92.4,68.5,4.01,133,63.6,99.8,10900000,411000000,821000000,621000,4680000,102000000,767000000,8.59e-06,9.38e-06,3.33e-05,9.72e-06,2.95e-05,9.68e-05,4.59e-06,29.6884569792596,1.01566489303937,310.775378434952,153.922627697656,31.0618041567757,1000,63.9993566083956,0.319940956774707,1.11314205584252,90.2721069897846,305982.2,8.95069737391886e-06,0.000714870118320971,56.0404,1.26203695340052e-06,4.51869264053809e-05,0.00816299419083905,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
1.1,1,0.362,1,1,1.38,1,1,0.841,2.3,1,0.265,4,20,2,4,20,2,4,20,2,2.68,0.111,0.219,0,51,252,99,83,3.99,132,58.9,201,1610000,354000000,342000000,530000,3930000,661000000,86400000,7.17e-06,8.34e-06,2.72e-05,7.91e-06,2.36e-05,3.31e-05,3.19e-06,33.4375883864472,1.40275267321199,154.803576757656,7.05436568220958,33.3779759930967,1000,75.908892459905,0.507128960492149,1.63876859578519,101.458356148481,110357,6.48076404666044e-06,0.000370196038179182,59.45743,2.6800967580386e-07,1.73705447704126e-05,0.00288411133424471,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
0.3,15,1.85,0.209,19,1.95,2.7,20,1.93,0.2,1,1.81,1.21,20,1.98,3.8,20,2,4,20,2.01,6.58,3.95,6.16,13,27,112.898509114395,66.1082228404642,59.3344896823812,5.97266189310198,148.127001432922,107.847106698146,52.4256146968372,70674145.502401,1283293090.62717,2108083588.91122,5681999.08436273,38548103.6519274,85064089.9271958,5598405315.41448,0.000146428737532202,0.00052799306335769,0.000815560717106715,0.000158909457522384,0.000354319223604143,0.000510860304267487,0.000126492538834888,51.5057965849078,5.99904877483833,139.706543494061,0.0414013582210059,51.043417639642,100980.860986969,115.572965913314,0.0977000593299839,-24.99463395,105.48020195504,2351654,0.000153025564820316,0.000126323793873483,44.16706,1.88574392694509e-07,1.66090484952169e-06,0.000608276445973832,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
1.1,1,0.197,2.7,2,1.54,1,1,0.758,1.1,1,0.128,1,20,2,4,20,2,4,20,2,2.1,0.0815,0.164,0,48,87.1,96.6,173,3.86,132,57.6,117,8050000,435000000,51700000,462000,3260000,740000000,377000000,5.81e-06,5.81e-06,2.52e-05,6.65e-06,1.86e-05,3.37e-05,3.24e-06,31.6383182045195,1.479691063514,287.248430994102,96.9631036804747,33.452003852974,1000,64.3626923834236,0.590763078667475,1.67394151034443,90.4433659876315,194127.3,6.14378860227743e-06,0.000568548821570007,58.54813,9.40032302744525e-07,5.82924431172099e-05,0.00768985252447785,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
0.533,20,2.08,0.321,20,1.97,2.29,20,2.15,0.3,6,1.9,0.06,20,1.93,3.7,20,2.02,2.49,20,1.99,10,6.83,16.7,14,54,7.82968623011535,62.4435610964324,58.0267682225981,2.95115896357789,88.7419544055673,27.4932265639184,51.9132841848523,1689136558.66139,968705096.22586,2609475585.56527,18384631.7471287,153576718.431599,199270826.511344,2857807755.30408,0.000288479945940956,0.00124399864448648,0.00195778613725964,0.000645193766359265,0.000952906764366319,0.00126430885835296,0.000582632506163883,18.7680857534939,30.2472127410266,35.8181962654152,116089.279334016,27.9920656057212,2821992.56832342,140.467406183783,0.140432688789387,-71.10106557408,48.4342497384184,3341752,0.000848160063986726,0.000132065818559269,59.90391,1.48520123051897e-07,7.76184435047944e-05,0.0632151313399449,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
0.6,5,2.07,0.4,5,1.92,0.589,4,1.63,0.2,1,0.199,2.02,17,1.96,3.8,20,2,0.414,1,1.82,3.76,5.42,7.59,15,22,166.919476001882,46.6297103552806,63.5206384731384,6.15216622134562,60.3627730898229,50.4853938199642,42.2476323143989,41153931.8961252,883860360.332142,1957275698.67689,6443720.67473731,6066566732.12893,2118188688.72625,11259704908.4722,0.000138536143161583,0.000323130964756971,0.000451092018216124,0.000185876771257549,0.000293000737306748,0.00049632329420208,3.16297973589756e-05,28.6443502741206,28.481554937145,50.22034906382,929.787639482881,27.7296751364592,538630.666539461,107.772668334787,0.0569015213620234,-4.9752252,83.4193082325838,949745.2,0.000171923282766417,0.000421545261923815,52.66492,1.51917772964611e-07,2.82321705735267e-05,0.0077772277981783,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
0.06,16,2.08,0.368,20,1.94,2.7,20,2.4,0.578,1,3.65,2.8,15,2.14,3.8,20,2,3.79,20,1.94,6.79,4.62,15.9,18,36,187.690361292665,12.5815766538716,72.2213046439773,6.41871706198697,146.622826856504,106.426091573666,84.0177344188239,36532359.1379146,7914341474.77474,1416466492.34025,10444267.2945417,74543261.1045877,109757042.355649,1047825476.20581,0.000184542075498962,0.00128465387834339,0.00110310194084898,0.000336236699654681,0.000658042790604281,0.0008374051780637,0.000130661676592284,38.0060419585369,10.7350942329344,73.4836977964344,12.4960953924158,38.8910571961328,361482.308631003,121.048455587009,0.326282041773551,606,107.320390231375,2474413,0.000306117741906221,0.000383467196077093,51.1859,0.00157710628606741,1.35425346673809e-05,0.00124458056169946,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
0.06,16,2.08,0.368,20,1.94,2.7,20,2.4,0.578,1,3.65,2.8,15,2.14,3.8,20,2,3.79,20,1.94,6.79,4.62,15.9,19,54,187.690361292665,12.5815766538716,72.2213046439773,6.41871706198697,146.622826856504,106.426091573666,84.0177344188239,36532359.1379146,7914341474.77474,1416466492.34025,10444267.2945417,74543261.1045877,109757042.355649,1047825476.20581,0.000184542075498962,0.00128465387834339,0.00110310194084898,0.000336236699654681,0.000658042790604281,0.0008374051780637,0.000130661676592284,38.0060419585369,10.7350942329391,73.4836977964344,12.4960953924158,38.8910571961328,361482.308631159,121.048455587009,0.326279942416125,593,107.320390231375,2474413,0.000306117741906221,0.000383467196077093,51.1859,0.00208515450497354,1.35425346673809e-05,0.00124458056169946,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
0.394,20,2.11,0.338,20,1.97,6.11,20,2.05,0.542,1,1.39,4,20,2.23,3.57,20,2.03,4,20,1.96,5.29,2.63,20,35,18,224.655443730917,59.7175875883362,68.0086200963481,6.43090906888318,150.111067477926,124.032902777404,74.640451282023,20147753.4124482,1307146809.03882,1778888040.62058,13067065.6242503,77284513.3848997,41948440.3328363,1361481824.04268,0.00020542595226301,0.00121107679665483,0.00132569528206845,0.000409002689030532,0.000734455274027717,0.000647890761910634,6.17630573859574e-05,27.5016995298286,99.8654183544713,27.8716223812689,1095.75863659044,27.1923392250915,4535822.48945393,107.991827283364,0.0313092049858998,1388,90.9656015884047,1265911,0.000412903190950087,0.000164954559744666,63.91586,7.1116788563718e-08,4.85913435946625e-05,0.0068955927622783,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
0.3,20,2.09,0.112,20,2.15,4.66,20,1.93,0.538,1,1.5,3.41,20,2.22,3.53,20,2.08,4.15,20,1.76,4.11,3.01,20,31,53,209.702587204489,54.0113869492152,33.0235090581973,6.4084091763861,151.495208933756,107.460705573418,74.9739024890984,25799140.9211125,1897786216.06525,6830855050.27918,13070798.4583821,77195155.1895613,72529506.3841395,1374144403.93325,0.000220999439155182,0.00132311566134741,0.00212493970823227,0.000412509110811988,0.00068744650971704,0.000807378397995237,6.67909779163539e-05,28.7261313135008,56.6794438744903,32.7394570671108,803.397492802608,28.5411978301234,3071436.24863644,102.390692936419,0.0412932073544995,995,84.5760117904513,1774138,0.000492632704313523,0.000160870133786854,57.61268,6.58471823093491e-08,4.45310830428483e-05,0.00583197052344087,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
1.08,5,1.98,0.4,5,1.93,0.305,4,1.64,0.2,1,0.126,1.57,17,1.95,3.8,20,2,2.37,6,1.82,3.76,3.81,2.46,14,44,138.999671921699,88.8755936089171,71.9851220322262,5.38833774270414,115.170740298826,43.0750645902519,46.0819429707107,31390434.6152965,221484928.542741,1408739201.89413,3082173.42854863,99129043.2112957,3041226752.75161,12046695197.7507,6.51348419519512e-05,0.000130318978104727,0.000305401339297373,7.27315238610163e-05,0.000146155675679344,0.000354108504428205,2.19042255788071e-05,29.2106241093918,63.5275363628079,92.1001724044417,166.389047990451,28.8911215791672,478236.329863369,98.956849181853,0.0628604209217708,-30.3601716,89.6515846645831,693331.6,6.84365119076647e-05,0.000380423598596879,51.73449,3.3302840250691e-07,2.20936395904786e-05,0.00551517200580043,"Leung_NMCF_Pin_3",65,1.2,0.4,10,1
1.1,1,0.317,2.5,2,1.5,0.9,1,1.09,1.6,1,0.12,4,20,2,4,20,2,4,20,2,2.82,0.107,0.25,0,57,254,96.1,161,4.04,133,58.2,142,1760000,409000000,61800000,584000,4320000,726000000,240000000,8.11e-06,8.58e-06,2.72e-05,8.97e-06,2.66e-05,4.2e-05,2.98e-06,28.6320460150697,143.944569151124,149.982445778901,106.597976436784,28.4865923414795,117419.250293271,76.9012976042426,0.277853975145258,0.764342953928541,99.0668189086651,122344.5,7.4156860257655e-06,0.00128166784846199,63.49263,1.51593948346002e-05,2.11684431933695e-05,0.00483980247458721,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
2.3,6,2.21,1.07,13,1.33,2.3,2,1.96,1.4,1,1.97,2.28,20,2.16,4,14,2.23,2.19,1,1.89,2.91,0.153,0.1,17,13,54.4042977930501,187.232136536693,95.8270535194179,3.66464582015993,79.7913209491071,84.9804850989256,121.302420701972,1481482.26189032,9764934.58046724,46047417.8220389,314002.312839969,39693760.2460991,45760078.00944,40522947.6344102,2.51287179941811e-06,9.90831909453753e-06,2.80137310295605e-05,3.02148609374302e-06,7.71206662105698e-06,2.04155883658884e-05,4.32223836176537e-06,68.2583810076456,132.974144143151,491.029163914268,0.0052055523043267,71.3031181355463,46177.2817083831,71.2007268221329,0.0409887123339647,2148,106.390855892919,170517.3,3.15695560803375e-06,0.000152826124124894,50.6187,4.58339061298191e-06,1.03960443905379e-05,0.00045963643408542,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
1.2,1,1.98,2.9,9,1.87,0.8,1,0.12,1.9,1,1.74,0.2,20,2,4,20,2,3.2,19,1.94,2.45,0.181,0.276,4,58,23.276881008194,116.295734574803,217.066735474955,3.95343066876216,89.7783007796182,5.43463685764363,150.191165684231,29579832.9742294,133863669.863663,22491337.1686429,704323.622709127,6291683.68087809,2017808392.74212,52319856.8527418,6.7623644451044e-06,1.60471374806966e-05,5.59655779673793e-05,1.05489642288505e-05,2.64916426825785e-05,1.57877490939791e-05,8.81706609275767e-06,40.8586920440487,214.417438480605,374.713955561942,14.5175751649102,47.2109874160413,244808.044013707,65.9010925554349,0.0928329117789347,-73.331727975,75.7786321844649,427824.3,1.03794154459745e-05,0.000307403916721434,40.19008,1.38680262162145e-06,4.62012574921303e-05,0.00550553239036872,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
0.6,1,0.12,0.8,1,0.195,1,1,1.23,1.6,1,0.142,4,17,2,4,20,2,3.85,20,2,2.8,0.158,0.227,18,43,254.937957930161,68.0066600679101,79.9217737012532,4.00317750417317,130.316684171414,63.297508460544,146.542364459128,1836885.85316485,1697923884.75374,853724750.510592,543535.820598557,4313373.2222716,261225981.636173,215097326.746331,7.32980075468638e-06,8.01269546169866e-06,8.28680731947735e-06,8.18227077297049e-06,2.50553390251577e-05,1.69388658886319e-05,3.08989344413166e-06,30.9834136013642,188.840336426872,257.143873878566,13.9929968314467,30.8519308898326,100326.288095452,75.7573389184177,0.0334925366966585,1631,101.110619346731,136614.3,4.82977938803505e-06,0.000617325739081633,57.85304,3.20153885303529e-06,1.75633164945316e-05,0.00369051837018874,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
2,2,1.82,0.7,2,1.22,0.6,1,0.439,2.1,1,0.735,0.2,20,2,4,20,1.99,2.7,11,1.97,2.21,0.0587,0.171,10,41,19.1894757600917,177.381623692034,87.3268656609776,3.81056015988946,83.254293806721,38.4355732699247,152.298754718888,18528465.6724972,39392448.3153952,322121979.837595,503348.225235432,9303474.20322003,1212024119.13588,54058774.577049,4.22599212598363e-06,1.37196685756851e-05,2.61274777317564e-05,6.85522883740324e-06,1.96864725411959e-05,1.91140368296497e-05,4.60966551003198e-06,38.9388923402547,242.502828507569,460.467329008241,18.6693200787186,44.1691623229791,148410.516943919,61.4684528843862,0.100567977714961,1067.5,87.1973952528981,281803.7,5.56359084953879e-06,0.000267838468061502,62.26986,2.22464800984116e-06,8.90117201930241e-05,0.00672200829746833,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
1.1,1,0.217,1,1,1.14,0.7,12,1.99,0.7,1,0.12,4,20,2,4,20,2,2.4,20,2,2.56,0.13,0.272,0,0,255,83.9,70.2,4.08,106,62.4,95.2,1860000,530000000,477000000,620000,9160000,158000000,995000000,8.76e-06,7.93e-06,3.27e-05,9.7e-06,3.13e-05,0.000106,5.23e-06,37.6752857652635,0.979366143504105,211.438784502603,3.1875598319351,37.6208904892664,1000,74.4324327311408,0.579807069401239,1.85983528483631,104.269624718462,215893.5,9.28244166005417e-06,0.000516924528080664,49.31243,7.8506541418846e-07,1.26372267263961e-05,0.00213394807696071,"Leung_NMCF_Pin_3",65,1.2,0.4,10,0
