MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_59_1_L_ma1_PMOS,MOSFET_59_1_M_ma1_PMOS,MOSFET_59_1_W_ma1_PMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,RESISTOR_0,gen,index,VDS0,VDS11,VDS12,VDS17,VDS18,VDS22,VDS24,VDS25,VDS59,VDS9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft59,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm59,gm9,gmid_offset0,gmid_offset11,gmid_offset12,gmid_offset17,gmid_offset18,gmid_offset22,gmid_offset24,gmid_offset25,gmid_offset59,gmid_offset9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,17,1,0.5,14,0.99,0.5,191,1,0.5,17,0.96,0.5,17,0.96,0.5,17,0.96,0.5,17,0.96,0.5,5,0.87,0.5,17,1,0.5,17,1,3.12,0.317,3.5,20,10,0,0.23707141918494,0.330114095378687,0.330114095378687,0.243182884658559,0.23707141918494,0.299897583833224,0.299897583833224,0.624041446295604,0.252533695149209,0.23707141918494,102543052.38729,318062997.084458,311545632.052797,123005473.21621,100586448.117682,308718861.434617,372231600.689256,3483708225.39197,91283874.7434054,100586448.117682,0.000158844037157777,5.89255750994243e-05,0.000798315072713601,8.72051017686214e-05,7.79648835593093e-05,6.71830199492882e-05,7.79321072485046e-05,0.000344636793088781,1.8985442248094e-05,7.79648835593093e-05,6.27390908439861,3.778009068253,3.51235263413004,7.99689298881276,7.54163863874311,6.50249261904457,6.37658328212375,1.37277657816518,6.65054118098223,6.23413684583539,78.5711974564422,824.671969598313,2124.61698952299,51.6281928454088,79.3944022683489,1292444.2524441,63.8726702119146,0.000841389824390037,413.8,99.4793219636408,3329747,9.67421136539775e-05,0.000205770468768436,45.43367,8.98106121999375e-07,6.48268498874005e-07,0.000101636064937072,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,31,0.98,0.5,10,1,0.5,692,1,0.5,26,1,0.5,24,0.97,1,5,0.91,0.5,17,0.97,0.5,31,0.97,0.5,20,0.97,0.5,17,0.99,3.12,0.317,4,20,20,27,0.226530771574993,0.366102187822888,0.366102187822888,0.23006850597283,0.226530771574993,0.423110580636489,0.423110580636489,0.60808467199814,0.470591726593737,0.226530771574993,86898392.2081561,419782321.804276,416744106.549557,95346897.7512697,84088821.1586795,367014662.272992,1388187770.30851,3305505455.37988,622397269.338925,84088821.1586795,0.000188718144906145,6.24725484644473e-05,0.00429771380196007,0.000105598096495802,9.14200055813446e-05,5.74368378829201e-05,0.000400997929340061,0.0022355507230562,0.000241878172207455,9.14200055813446e-05,6.50705752157802,1.19591769161084,1.21144152858095,8.24839657598201,7.75498363506925,1.40267328858953,7.00122356324426,1.76302356106096,-3.16291221672235,6.44748184216153,81.4245679956652,293.820957361486,492.043737449839,11.9566628200311,75.9555206678349,1864850.80279189,66.6843534871562,0.00333312992933148,208.8,101.506632583018,3122950,0.000391783649878639,0.000218097720518543,79.85864,5.20804936517857e-07,3.10881739000929e-06,0.000719973602908375,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,26,0.97,0.5,17,1,0.5,1030,1,0.5,17,0.96,0.5,17,0.96,0.5,17,0.96,0.5,46,0.99,0.5,9,0.97,0.5,21,0.98,0.5,17,1,3.12,0.317,3.1,20,19,25,0.231544184433285,0.308881186711249,0.308881186711249,0.237686593188688,0.231544184433285,0.292220029817289,0.292220029817289,0.738574724920434,0.359028697967944,0.231544184433285,93675041.9194929,256485915.831721,250732510.021492,112587182.2522,91865554.7913809,276750659.022403,327881214.555736,4634461759.02357,330997248.084478,91865554.7913809,0.000143810518392524,5.49331477850255e-05,0.00326616771405964,7.91852359131289e-05,7.05674929186277e-05,5.91215069556054e-05,0.000187934828643112,0.000956064016173016,0.000106192052289849,7.05674929186277e-05,6.38261937541813,4.10858485239279,4.15249443111904,8.09046378096162,7.65275708069512,6.67922531021173,6.59676871649244,-0.0857709843848351,1.79519866726192,6.3452552877874,81.2529125212286,372.931165616746,649.252318801855,15.7768313468851,78.7179557869157,1488348.1754504,67.4704231497032,0.00081179771722638,206.4,96.2838066055317,2591131,0.000246354696614499,0.000201291374021968,75.5328,6.06599428681692e-07,2.30346773968659e-07,9.78629213970739e-05,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,27,0.99,0.5,12,0.95,0.5,783,1,0.5,35,0.99,0.5,17,0.96,1,4,0.91,0.5,29,0.98,0.5,44,0.99,0.5,25,1,0.5,28,0.99,3.12,0.317,3.9,20,21,30,0.24328565112682,0.354808869479483,0.354808869479483,0.223838435362774,0.24328565112682,0.439903743740452,0.439903743740452,0.556172573839329,0.540211357655392,0.24328565112682,121107884.246039,388276700.660995,383729763.211917,77009827.7314983,111188097.283937,412582324.164538,1571448283.35071,2724768376.13859,818934168.192282,111188097.283937,0.000188915161968417,6.38391283009967e-05,0.00433171479050119,0.000111359800439823,8.71142788452778e-05,5.33359764656901e-05,0.000809380462140304,0.00257102623085739,0.000445665492002551,8.71142788452778e-05,6.3001757840784,1.73107712373573,1.79912419533342,8.49712259483798,7.41255663267671,0.703841164840016,7.37676828814098,1.05803225203293,-2.37586922153812,6.10505483976899,101.710968300837,321.915512035055,628.319656456348,15.2681676518893,81.2345397117652,2148696.53291138,67.1483283485151,0.00194114200969229,202.1,105.446118295549,4193859,0.000412019873204732,0.000221839969424951,68.19773,4.07748336963573e-07,1.53202514671824e-06,0.000331404641171207,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,23,1,0.5,14,0.99,0.5,191,1,0.5,10,0.96,0.5,17,0.96,0.5,17,0.96,0.5,17,0.96,0.5,5,0.87,0.5,17,1,0.5,65,1,3.12,0.317,4,20,25,58,0.244344114682702,0.338983556311691,0.338983556311691,0.265245316943485,0.244344114682702,0.307475783566638,0.307475783566638,0.644927096052909,0.25848862005648,0.244344114682702,104067906.028414,344183212.633085,337178176.66849,186343757.349832,113088934.921942,343047432.481763,411896430.793473,3708082941.4598,100447437.069208,113088934.921942,0.0001638589909362,6.54392038140673e-05,0.000886187051389217,8.1570612880654e-05,8.87717432933832e-05,7.60658786593432e-05,8.79387529802207e-05,0.000370518540789388,2.10686486596882e-05,8.87717432933832e-05,5.92475344699041,2.57111970694159,2.6242779435373,7.48614649149751,7.39026918399455,6.31938641229841,6.18799033895115,-0.790821984727482,6.45427024318917,6.08276739108683,94.5946240189562,712.121442692923,1837.31463352901,44.6467455947549,75.1729557546442,1260361.58305106,64.2510544660553,0.00156511989682609,200.2,98.3180282147148,3251806,0.000109251165678984,0.000187306899854954,49.47344,8.65657162633355e-07,1.53289843682763e-06,0.000349753776992923,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,62,1,0.5,8,0.98,0.5,973,1,0.5,35,0.97,0.5,29,0.98,0.5,20,1,0.5,83,0.99,0.5,7,0.95,0.5,31,0.97,0.5,30,0.98,3.12,0.317,1.4,20,18,35,0.165988809394532,0.307540737822533,0.307540737822533,0.166724574107906,0.165988809394532,0.240154617398363,0.240154617398363,0.780288267225063,0.319875294196243,0.165988809394532,29653944.6666953,254898372.251483,247058150.406841,30515222.6314786,28301066.2788863,121280107.976982,150250589.337868,5001381323.50206,230122681.546581,28301066.2788863,7.40035937184177e-05,2.50844185494516e-05,0.00302937211245381,4.20120882565259e-05,3.53543770998303e-05,2.85309877989227e-05,0.0001390388647015,0.000793122320333553,9.71270373956822e-05,3.53543770998303e-05,7.47421169923912,7.14815188471676,6.72998385344132,9.14507719233237,8.75001014707357,7.72188492022626,7.65282513888013,0.515161636522386,3.8410792742629,7.44250835416586,72.0456829023455,195.408784769203,500.091770018546,12.1522300114507,75.6081512456299,663049.993630616,69.3430097414296,0.00498347731719498,-15.0042915,95.498292705761,1696883,0.000209453285331303,0.000188445393701782,68.57739,1.83527773453985e-06,5.21780934525179e-06,0.00101341568988361,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,17,1,0.5,5,0.85,0.5,191,1,0.5,17,0.96,0.5,17,0.96,0.5,23,0.96,0.5,17,0.96,0.5,7,0.92,0.5,17,1,0.5,17,1,3.12,0.317,4.7,20,12,5,0.2521091712281,0.440052299640317,0.440052299640317,0.258931438333028,0.2521091712281,0.296529838850134,0.296529838850134,0.821342014049914,0.0810502731941511,0.2521091712281,130526501.99066,642555539.788282,624223239.710013,157315615.075773,127852462.812086,294355307.181471,360011432.442792,5332977183.01799,2875874.48927743,127852462.812086,0.000207724442830012,4.91644515471412e-05,0.0021467453265562,0.000114566036047929,0.000101826175602919,8.59592343131178e-05,7.46470580294253e-05,0.000825072330125409,5.68453103648711e-07,0.000101826175602919,5.96693870537657,2.83860380979292,-1.78158030995103,7.71411091097335,7.22268792954416,6.58105180829749,6.44274793490955,-3.35681003372969,9.85398697910911,5.91518613663644,76.7080658773814,526.135217847468,828.56241002652,20.1340665636444,73.7636093192706,2285371.29759777,63.8883244419511,0.00488153787941382,214.8,91.742315815586,3599023,0.000268129365865314,0.000218915771096279,65.12811,7.40218751990556e-07,4.55939339065597e-06,0.00111527977307041,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,17,1,0.5,14,0.99,0.5,191,1,0.5,17,0.96,0.5,17,0.96,0.5,17,0.96,0.5,15,0.96,0.5,6,0.84,0.5,17,1,0.5,17,1,3.12,0.317,19,20,14,7,0.327247806466337,0.461695625648738,0.461695625648738,0.334885580834453,0.327247806466337,0.397900115886591,0.397900115886591,0.954648965775992,0.229279026383753,0.327247806466337,371526127.987456,690643114.352345,684632208.824214,456572540.477833,364692547.978571,983922738.566119,1136725789.92994,6136840327.81203,61428151.6900985,364692547.978571,0.00070800318691437,0.000179475971774893,0.00245542313255876,0.000394312680930617,0.000347908574790401,0.000273643201254088,0.000270713648514798,0.000756064314703991,1.24468387742139e-05,0.000347908574790401,3.94105111926689,-2.23511137275751,-2.56364128787863,6.05538962312551,5.16306736999161,3.28902339100338,3.74145120001793,-4.38259240864748,7.33912393179479,3.85556557708389,74.9778013314655,632.370610524181,1049.19386070299,25.4954108150826,76.3773114961892,5005512.08606204,63.8678557648525,0.00162028512049984,212.4,85.306499811062,8304865,0.000488609404663152,0.0003183167924767,58.77611,3.50976614993681e-07,1.0469918702849e-06,0.000118588151420407,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,17,1,0.5,17,1,0.5,590,1,0.5,17,0.96,0.5,17,0.96,0.5,17,0.96,0.5,40,0.98,0.5,10,0.95,0.5,23,0.97,0.5,17,1,3.12,0.317,11.3,20,18,21,0.298401511339829,0.395721910809986,0.395721910809986,0.305179013733045,0.298401511339829,0.364933725777019,0.364933725777019,0.887983870398944,0.428459355817713,0.298401511339829,255980141.273555,507286903.767469,501260404.009647,311403164.077354,251292147.991904,701549765.983998,806029929.311837,5788070001.34341,511944455.936694,251292147.991904,0.000452305376449323,0.000139354066721944,0.00478982483590084,0.000249541160604585,0.000222246041409978,0.000180262440631214,0.000481957592538122,0.00133168610054331,0.000211699993439388,0.000222246041409978,4.82646827364393,-0.294469650987958,-0.269823168917478,6.77283360236143,6.0621957936421,4.58413875683242,4.48824449509701,-2.96114772068186,-1.59001040114706,4.75469400073438,74.1038440882875,532.630820899425,858.936918500434,20.8721671195605,78.947736810004,4784615.63284092,65.5549998093204,0.00191056336559316,200.9,90.0345463167265,7715819,0.000554505357958426,0.000247124758833905,54.62282,4.54060353356086e-07,2.07226871998922e-06,0.000373116576856902,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,17,1,0.5,14,0.99,0.5,191,1,0.5,17,0.96,0.5,17,0.936,0.5,17,0.96,0.5,15,0.96,0.5,10,0.84,0.5,17,1,0.5,17,1,3.12,0.317,19,20,23,50,0.328025598352118,0.464518111978267,0.464518111978267,0.335289325713607,0.328025598352118,0.399716264100735,0.399716264100735,0.813568194163713,0.253129227616072,0.328025598352118,379627405.938503,698581536.00623,692628063.129929,457653182.45557,371663655.63409,1000956123.60385,1153982642.12591,5286727792.38645,92171692.8574224,371663655.63409,0.000707083864493642,0.000182453520344928,0.00249654271342011,0.000395414459910165,0.000346602963997599,0.000279530483960175,0.000276036339051615,0.0010673560522974,1.91856617347116e-05,0.000346602963997599,4.25577341243009,0.732108099975116,0.749778215085836,7.1067884576828,5.10279053868916,6.81827389605152,7.67507590717442,0.166096768192593,15,3.79528874578144,75.3407889467364,617.845763595364,1056.90046371075,25.6826812681712,75.7655782345607,4962724.51762776,63.8698285577784,0.00113487182091584,180.8,90.2641122116607,8489345,0.000495821186543377,0.000504451530322588,61.46273,4.62390572206359e-07,8.12423672342799e-07,8.29573156146957e-05,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,26,0.97,0.5,17,1,0.5,1030,1,0.5,17,0.96,0.5,17,0.96,0.5,17,0.96,0.5,46,0.99,0.5,16,0.97,0.5,116,1,0.5,17,1,3.12,0.317,6.3,20,21,35,0.267954749543964,0.354276250236604,0.354276250236604,0.274462462751807,0.267954749543964,0.331902974400942,0.331902974400942,0.765471355744748,0.294759679593321,0.267954749543964,165981452.590256,388422854.64066,382151608.74312,200994445.737809,162844395.296273,473713332.826671,554659091.345336,4874783332.15733,169690615.506469,162844395.296273,0.000272898068873596,9.47690627498931e-05,0.0056658709067407,0.00015050679147443,0.00013399345889908,0.000111807100253693,0.000352414616600184,0.00179830052229548,0.000259804718480077,0.00013399345889908,5.60752108102741,1.79163405451488,1.82702862448326,7.41548022154603,6.85828875529211,5.66122843727418,5.56008178800212,-3.6639622269576,5.05446580929284,5.55078696238439,80.9383431217583,322.293627064168,559.992185658817,13.6078101115092,77.6786758154436,2583061.77176246,67.8480876664921,0.00136909733011068,180.6,94.5983211531862,4488126,0.000494729787146723,0.000239300588157773,73.0397,4.47783200301471e-07,4.03508390647012e-07,0.000152458255386123,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
0.5,62,0.99,0.5,16,0.96,0.5,892,1,0.5,57,1,0.5,62,0.99,0.5,45,0.98,0.5,166,1,0.5,10,0.99,1,8,0.96,0.5,57,1,3.12,0.317,4.7,20,21,37,0.186779566337651,0.34031040875773,0.34031040875773,0.19536992046856,0.186779566337651,0.26083263903491,0.26083263903491,0.788749303677855,0.629159824219203,0.186779566337651,41926836.1211011,351046055.154393,341104944.618457,53234144.8456056,41469560.3110079,170925999.156305,201343926.558595,5068417966.88874,276254384.252179,41469560.3110079,0.000229444222955857,7.42741819557045e-05,0.00420308173087001,0.000125317452632264,0.000113502370745438,9.20783706799637e-05,0.000392577268607006,0.00119752586249737,9.29941457270074e-05,0.000113502370745438,7.15082825515833,2.45657932270333,4.76815967625497,8.73446053027306,8.44822291000242,7.33951982304474,7.58825318004882,-0.222795847316007,-7.13931025412702,7.14072111709471,77.0914099813858,389.259142993544,795.743643317054,19.3365705326044,75.1104989843618,2275708.57621133,71.0855329866774,0.00356419188136011,152.8,94.5220850376102,4652121,0.000360879996183073,0.000260729644464104,45.81441,1.04153882461624e-06,3.55793741007859e-06,0.000762642670494307,"Peng_ACBC_Pin_3",180,1.8,0.4,100,0
